"logZ","niter","error","relative_error","below_tolerance","method","mu","nu","max_iter","eps","true_value"
0.21945,6,1.93179e-05,1.55112e-05,1,"errorBounding",0.2,0.1,1e+05,1e-04,0.219465836541704
0.219434,7,3.966e-05,3.18449e-05,1,"brms",0.2,0.1,1e+05,1e-04,0.219465836541704
0.219461,7,6.51284e-06,5.22947e-06,1,"brms_bulk",0.2,0.1,1e+05,1e-04,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-05,0.219465836541704
0.219465,8,1.05567e-06,8.47651e-07,1,"ST",0.2,0.1,1e+05,1e-05,0.219465836541704
0.219463,7,3.18558e-06,2.55785e-06,1,"errorBounding",0.2,0.1,1e+05,1e-05,0.219465836541704
0.219461,8,6.51284e-06,5.22947e-06,1,"brms",0.2,0.1,1e+05,1e-05,0.219465836541704
0.219465,8,1.05567e-06,8.47651e-07,1,"brms_bulk",0.2,0.1,1e+05,1e-05,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-06,0.219465836541704
0.219466,9,1.69155e-07,1.35822e-07,1,"ST",0.2,0.1,1e+05,1e-06,0.219465836541704
0.219465,8,5.17924e-07,4.15865e-07,1,"errorBounding",0.2,0.1,1e+05,1e-06,0.219465836541704
0.219465,9,1.05567e-06,8.47651e-07,0,"brms",0.2,0.1,1e+05,1e-06,0.219465836541704
0.219466,9,1.69155e-07,1.35822e-07,1,"brms_bulk",0.2,0.1,1e+05,1e-06,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-07,0.219465836541704
0.219466,11,4.21457e-09,3.38408e-09,1,"ST",0.2,0.1,1e+05,1e-07,0.219465836541704
0.219466,9,8.31806e-08,6.67897e-08,1,"errorBounding",0.2,0.1,1e+05,1e-07,0.219465836541704
0.219466,11,2.68258e-08,2.15397e-08,1,"brms",0.2,0.1,1e+05,1e-07,0.219465836541704
0.219466,11,4.21457e-09,3.38408e-09,1,"brms_bulk",0.2,0.1,1e+05,1e-07,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-08,0.219465836541704
0.219466,12,6.56502e-10,5.27137e-10,1,"ST",0.2,0.1,1e+05,1e-08,0.219465836541704
0.219466,11,2.07927e-09,1.66955e-09,1,"errorBounding",0.2,0.1,1e+05,1e-08,0.219465836541704
0.219466,12,4.21457e-09,3.38408e-09,1,"brms",0.2,0.1,1e+05,1e-08,0.219465836541704
0.219466,12,6.56502e-10,5.27137e-10,1,"brms_bulk",0.2,0.1,1e+05,1e-08,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-09,0.219465836541704
0.219466,13,1.01459e-10,8.14666e-11,1,"ST",0.2,0.1,1e+05,1e-09,0.219465836541704
0.219466,12,3.24277e-10,2.60377e-10,1,"errorBounding",0.2,0.1,1e+05,1e-09,0.219465836541704
0.219466,13,6.56502e-10,5.27137e-10,1,"brms",0.2,0.1,1e+05,1e-09,0.219465836541704
0.219466,13,1.01459e-10,8.14666e-11,1,"brms_bulk",0.2,0.1,1e+05,1e-09,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-10,0.219465836541704
0.219466,14,1.55657e-11,1.24985e-11,1,"ST",0.2,0.1,1e+05,1e-10,0.219465836541704
0.219466,13,5.01658e-11,4.02805e-11,1,"errorBounding",0.2,0.1,1e+05,1e-10,0.219465836541704
0.219466,14,1.0146e-10,8.14668e-11,0,"brms",0.2,0.1,1e+05,1e-10,0.219465836541704
0.219466,14,1.55657e-11,1.24985e-11,1,"brms_bulk",0.2,0.1,1e+05,1e-10,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-11,0.219465836541704
0.219466,16,3.58565e-13,2.87909e-13,1,"ST",0.2,0.1,1e+05,1e-11,0.219465836541704
0.219466,14,7.70269e-12,6.18486e-12,1,"errorBounding",0.2,0.1,1e+05,1e-11,0.219465836541704
0.219466,16,2.37193e-12,1.90453e-12,1,"brms",0.2,0.1,1e+05,1e-11,0.219465836541704
0.219466,16,3.58565e-13,2.87909e-13,1,"brms_bulk",0.2,0.1,1e+05,1e-11,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-12,0.219465836541704
0.219466,17,5.37173e-14,4.31322e-14,1,"ST",0.2,0.1,1e+05,1e-12,0.219465836541704
0.219466,16,1.77606e-13,1.42608e-13,1,"errorBounding",0.2,0.1,1e+05,1e-12,0.219465836541704
0.219466,17,3.59118e-13,2.88353e-13,1,"brms",0.2,0.1,1e+05,1e-12,0.219465836541704
0.219466,17,5.34753e-14,4.29379e-14,1,"brms_bulk",0.2,0.1,1e+05,1e-12,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-13,0.219465836541704
0.219466,18,7.74303e-15,6.21725e-15,1,"ST",0.2,0.1,1e+05,1e-13,0.219465836541704
0.219466,17,2.63747e-14,2.11775e-14,1,"errorBounding",0.2,0.1,1e+05,1e-13,0.219465836541704
0.219466,18,5.37864e-14,4.31877e-14,1,"brms",0.2,0.1,1e+05,1e-13,0.219465836541704
0.219466,18,7.50106e-15,6.02296e-15,1,"brms_bulk",0.2,0.1,1e+05,1e-13,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-14,0.219465836541704
0.219466,19,8.64178e-16,6.93889e-16,1,"ST",0.2,0.1,1e+05,1e-14,0.219465836541704
0.219466,18,3.73325e-15,2.9976e-15,1,"errorBounding",0.2,0.1,1e+05,1e-14,0.219465836541704
